Reading all blocks...
Block 0: 0xD2 0x91 0x10 0x5B 0x06 0x00 0x13 0x1A
Block 37: 0x97 0x00 0xAA 0x04 0xC8 0xE8 0x97 0x00
Block 38: 0x5E 0x05 0xC8 0x48 0x97 0x00 0x88 0x05
Block 39: 0xC8 0x9C 0x98 0x00 0x1A 0x31 0x00 0x00
Block 40: 0x51 0xAF 0x00 0x08 0xE4 0x0F 0xF9 0x50
Block 41: 0x14 0x07 0x96 0x80 0x5A 0x00 0xED 0xA6
Block 42: 0x0C 0x7C 0x1A 0xC8 0x04 0x82 0x49 0x68
Block 43: 0xAE 0xF9 0x21 0x83 0xF2 0x90 0x07 0x00
Block 44: 0x06 0x08 0x02 0x24 0x0C 0x43 0x17 0x3C
Block 45: 0xC2 0x43 0x08 0x08 0xB2 0x40 0xA2 0x08
Block 46: 0x08 0x08 0xD2 0x42 0xA2 0xF9 0x08 0x08
Block 47: 0xD2 0x42 0xA3 0xF9 0x08 0x08 0x0C 0x41
Block 48: 0x0C 0x53 0x92 0x12 0x90 0x1C 0x5C 0x93
Block 49: 0x03 0x20 0xA2 0x41 0x08 0x08 0x02 0x3C
Block 50: 0xB2 0x43 0x08 0x08 0x1C 0x43 0x21 0x53
Block 51: 0x30 0x41 0x0A 0x12 0x4A 0x4C 0x4C 0x93
Block 52: 0x0B 0x20 0xB2 0x40 0x50 0xCC 0x02 0x07
Block 53: 0x92 0xD3 0x00 0x07 0xB2 0xC0 0x00 0x02
Block 54: 0x00 0x07 0xA2 0xD2 0x00 0x07 0x02 0x3C
Block 55: 0x92 0x12 0x82 0x1C 0x32 0xD0 0xD8 0x00
Block 56: 0xE2 0xB3 0xC3 0x1C 0x09 0x28 0xE2 0xC3
Block 57: 0xC3 0x1C 0x4A 0x93 0x05 0x24 0x12 0xC3
Block 58: 0x12 0x10 0xA4 0x1C 0x12 0x11 0xA4 0x1C
Block 59: 0x3A 0x41 0x30 0x41 0x0A 0x12 0x0B 0x12
Block 60: 0x08 0x12 0x09 0x12 0x06 0x12 0xF2 0x90
Block 61: 0x07 0x00 0x06 0x08 0x68 0x20 0xB0 0x12
Block 62: 0x3A 0xFB 0x61 0x20 0x92 0x12 0x78 0x1C
Block 63: 0x3A 0x40 0xFA 0xF9 0x4C 0x43 0x8A 0x12
Block 64: 0x3B 0x40 0x84 0x1C 0x26 0x4B 0x38 0x40
Block 65: 0xB0 0xF9 0x39 0x40 0xA4 0x1C 0xB2 0x90
Block 66: 0x00 0x20 0xA4 0x1C 0x09 0x2C 0x1F 0x43
Block 67: 0xB0 0x12 0x30 0xFB 0x3F 0x40 0x00 0x20
Block 68: 0x2F 0x89 0x82 0x4F 0xA4 0x1C 0x06 0x3C
Block 69: 0x0F 0x43 0xB0 0x12 0x30 0xFB 0xB2 0x50
Block 70: 0x00 0xE0 0xA4 0x1C 0x92 0x52 0xA4 0x1C
Block 71: 0xA4 0x1C 0x2F 0x49 0x7E 0x42 0x0D 0x43
Block 72: 0x0C 0x48 0xAB 0x12 0x1F 0x43 0x5E 0x43
Block 73: 0x3D 0x40 0x22 0x00 0x0C 0x48 0xAB 0x12
Block 74: 0xB2 0x90 0x00 0x01 0xA4 0x1C 0x08 0x28
Block 75: 0x7F 0x43 0x7E 0x42 0x0D 0x43 0x0C 0x48
Block 76: 0xAB 0x12 0x7C 0x40 0x34 0x00 0x29 0x3C
Block 77: 0x6C 0x42 0x8A 0x12 0x2F 0x49 0x3F 0xF0
Block 78: 0xFF 0x07 0x82 0x4F 0xA6 0x1C 0x1F 0x42
Block 79: 0xA6 0x1C 0x7E 0x40 0x0B 0x00 0x3D 0x40
Block 80: 0x16 0x00 0x0C 0x48 0xAB 0x12 0x7C 0x40
Block 81: 0x05 0x00 0x8A 0x12 0x2F 0x49 0x7E 0x40
Block 82: 0x0C 0x00 0x3D 0x40 0x28 0x00 0x0C 0x48
Block 83: 0xAB 0x12 0x7C 0x40 0x06 0x00 0x8A 0x12
Block 84: 0x2F 0x49 0x7E 0x40 0x0C 0x00 0x3D 0x40
Block 85: 0x34 0x00 0x0C 0x48 0xAB 0x12 0xB2 0xB0
Block 86: 0x10 0x00 0x22 0x01 0x06 0x2C 0x7C 0x40
Block 87: 0x28 0x00 0x92 0x12 0x8C 0x1C 0x0C 0x43
Block 88: 0x05 0x3C 0xE2 0xC2 0xC3 0x1C 0x92 0x12
Block 89: 0x94 0x1C 0x1C 0x43 0x30 0x40 0x6C 0x5F
Block 90: 0x5E 0x43 0x3D 0x40 0x21 0x00 0x0C 0x48
Block 91: 0x00 0x46 0xC2 0x43 0x08 0x08 0xE2 0xD2
Block 92: 0xC3 0x1C 0x92 0x12 0x98 0x1C 0x4C 0x93
Block 93: 0x30 0x41 0xF2 0x90 0x07 0x00 0x06 0x08
Block 94: 0x02 0x24 0x0C 0x43 0x30 0x41 0xB0 0x12
Block 95: 0x3A 0xFB 0x08 0x24 0xA2 0x43 0xDC 0xF8
Block 96: 0x7C 0x40 0x28 0x00 0x92 0x12 0x8C 0x1C
Block 97: 0x0C 0x43 0x30 0x41 0x92 0x12 0x78 0x1C
Block 98: 0x92 0xD3 0x00 0x07 0xB2 0x40 0x4B 0xD8
Block 99: 0x02 0x07 0xB2 0xC0 0x00 0x02 0x00 0x07
Block 100: 0xA2 0xD2 0x00 0x07 0x92 0x43 0xDC 0xF8
Block 101: 0x32 0xD0 0xD8 0x00 0xE2 0xB3 0xC3 0x1C
Block 102: 0x05 0x28 0xE2 0xC3 0xC3 0x1C 0x92 0x42
Block 103: 0xA4 0x1C 0xDE 0xF8 0x5C 0x43 0x92 0x12
Block 104: 0x86 0x1C 0xE2 0xC2 0xC3 0x1C 0x92 0x12
Block 105: 0x94 0x1C 0x1C 0x43 0x30 0x41 0xF2 0x90
Block 106: 0x07 0x00 0x06 0x08 0x02 0x24 0x0C 0x43
Block 107: 0x30 0x41 0xC2 0x43 0x08 0x08 0xE2 0xD2
Block 108: 0xC3 0x1C 0x92 0x12 0x72 0x1C 0x1C 0x43
Block 109: 0x30 0x41 0x0A 0x12 0x92 0x12 0x20 0x1C
Block 110: 0x4C 0x93 0x14 0x24 0xF2 0x90 0x05 0x00
Block 111: 0x0C 0x08 0x10 0x20 0x1D 0x42 0x06 0x08
Block 112: 0x5F 0x42 0x06 0x08 0x0D 0x93 0x07 0x20
Block 113: 0x7F 0x93 0x05 0x20 0x92 0x12 0x94 0x1C
Block 114: 0xC2 0x43 0x08 0x08 0x12 0x3C 0x7F 0x90
Block 115: 0x10 0x00 0x02 0x28 0x0C 0x43 0x0E 0x3C
Block 116: 0xC2 0x43 0x08 0x08 0x0C 0x43 0x07 0x3C
Block 117: 0x0E 0x4C 0x0E 0x5E 0x0A 0x4D 0x0A 0x5E
Block 118: 0xA2 0x4A 0x08 0x08 0x1C 0x53 0x0C 0x9F
Block 119: 0xF7 0x2B 0x1C 0x43 0x3A 0x41 0x30 0x41
Block 120: 0x0A 0x12 0x4A 0x4C 0xB0 0x12 0xC8 0x5B
Block 121: 0x6A 0x92 0x10 0x20 0x7E 0x40 0x0B 0x00
Block 122: 0x3D 0x40 0x16 0x00 0x3C 0x40 0xB0 0xF9
Block 123: 0x92 0x12 0x4C 0x1C 0x82 0x4C 0xA6 0x1C
Block 124: 0x92 0x52 0xA6 0x1C 0xA6 0x1C 0x92 0x52
Block 125: 0xA6 0x1C 0xA6 0x1C 0x3A 0x41 0x30 0x41
Block 126: 0x0E 0x43 0x1C 0x42 0xB6 0xF9 0xB0 0x12
Block 127: 0xDE 0x5E 0x1D 0x42 0xAA 0x1C 0x12 0xC3
Block 128: 0x0D 0x10 0x0D 0x11 0x0C 0x9D 0x02 0x2C
Block 129: 0x0D 0x8C 0x04 0x3C 0x0C 0x8D 0x0D 0x4C
Block 130: 0x3E 0x40 0x00 0x02 0x3D 0x90 0x00 0x02

